Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Жученко,Ліза,Олександрівна,Жіноча,05.07.2001,Гінеколог,хутір Єнакієве,"вулиця Кар’єрна, буд. 6 кв. 37, Хоростків, 94052",068 473-70-32,tarasenkotetiana@example.net
Кащенко,Пріска,Андріївна,Жіноча,07.04.1955,Підприємець,село Шостка,"проспект Цементний, буд. 7 кв. 3, Кипуче, 99484",+380 93 454-62-15,valeriilytvynenko@example.org
Андрощук,Людмила,Федорівна,Жіноча,08.04.1971,Лікар,селище Тетіїв,"вулиця Квітковий, буд. 467, Генічеськ, 79470",+380 48 034 39 80,prykhodkoparmen@example.net
Черненко,Юстина,Сергіївна,Жіноча,31.05.1947,Ювелір,місто Рава-Руська,"узвіз Матюшенка, буд. 81, Валки , 54458",578 01 98,ivasiukhennadii@example.com
Малик,Михайлина,Андріївна,Жіноча,30.07.1944,Кушнір,хутір Херсон,"парк Амурська, буд. 1, Харцизьк, 20604",093 040 70 34,amaliiadotsenko@example.com
Микитюк,Орися,Андріївна,Жіноча,06.06.1990,Гицель,селище Тульчин,"провулок Слобідська, буд. 20 кв. 36, Луцьк, 18925",+380 59 103 44 41,solomiiasych@example.net
Яременко,Юстина,Федорівна,Жіноча,09.10.1957,Будник,селище Берегове,"шосе Китобійний 1-й, буд. 999, Умань, 60522",005 679 96 36,olhavlokh@example.com
Яремків,Ада,Іванівна,Жіноча,15.08.1988,Акушер,село Верхньодніпровськ,"площа Моторний 1-й, буд. 956, Суходільськ, 63405",+380 (05) 706-32-53,erika95@example.com
Корсун,Амалія,Олександрівна,Жіноча,08.07.1985,Стоматолог,село Торецьк,"сквер М’ясоєдовська, буд. 51, Глиняни, 86006",559 64 28,iosyp06@example.net
Карпенко,Марина,Андріївна,Жіноча,24.12.1995,Конструктор,село Могилів-Подільський,"парк Дігтярна, буд. 4 кв. 3, Коростишів, 73055",014 313 01 70,demianarkhymovych@example.org
Штепа,Віра,Володимирівна,Жіноча,18.12.1990,Фермер,хутір Охтирка,"парк Виноградний, буд. 771 кв. 17, Стрий, 81841",+380 19 192-80-26,zakharenkovolodymyr@example.org
Товстуха,Мілена,Сергіївна,Жіноча,21.09.1973,Геолог,місто Валки ,"площа Кладовищний, буд. 73, Сулимівка (Слов'янськ), 18833",+380 (81) 610-12-10,mishchenkoparmen@example.net
Цибуленко,Емілія,Володимирівна,Жіноча,13.10.1951,Програміст,місто Семенівка,"провулок Ковиловий, буд. 563, Житомир, 74139",048 530-91-35,lukashkamilla@example.org
Швачко,Златослава,Петрівна,Жіноча,21.12.1953,Художник,село Яворів,"проспект Волоколамська, буд. 97, Городенка, 19932",+380 48 702-46-01,matviienkoavrelii@example.org
Гуцуляк,Клавдія,Дмитрівна,Жіноча,07.03.1944,Водій,селище Лубни,"площа Лінія 31-ша, буд. 287 кв. 83, Калинівка , 65202",+380 17 055 58 81,bohdannatymchuk@example.org
Кащенко,Юстина,Вікторівна,Жіноча,25.08.1994,Ботанік,місто Миронівка,"узвіз Хімічний 2-й, буд. 2 кв. 71, Кіцмань, 85624",+380 72 873-83-24,korzhdan@example.net
Демʼянчук,Марія,Сергіївна,Жіноча,14.03.2002,Будник,хутір Середина-Буда,"парк Князівський, буд. 61 кв. 30, Мена , 95193",396-47-41,okseniia62@example.com
Колесниченко,Марія,Андріївна,Жіноча,09.09.1970,Провізор,хутір Ковель,"парк Зелена, буд. 19, Винники, 64778",004 741 93 12,pavlogerus@example.com
Франчук,Ольга,Михайлівна,Жіноча,07.12.1969,Сантехнік,хутір Ковель,"вулиця Тепличний 2-й, буд. 7 кв. 58, Бахмут, 89154",+380 42 003-13-05,fdarahan@example.org
Ґоляш,Любов,Андріївна,Жіноча,30.09.2001,Візажист,селище Білицьке,"парк Рачкова, буд. 936, Яготин, 03558",+380 23 163-79-42,dankivboleslav@example.org
Безбородьки,Христина,Федорівна,Жіноча,13.09.2004,Хореограф,місто Валки ,"узвіз Водопровідний 2-й, буд. 018, Сніжне, 86448",317 01 40,tereza82@example.org
Лагода,Ярина,Андріївна,Жіноча,31.05.1990,Штукатур,місто Вишневе ,"шосе Гілельса, буд. 91 кв. 877, Шепетівка, 70471",+380 90 343-24-26,hannatsisyk@example.com
Ляшко,Олена,Сергіївна,Жіноча,01.11.1955,Дипломат,село Львів,"вулиця Архітектурна, буд. 52, Іллінці, 32525",+380 (62) 981-57-69,ivashchenkoiustym@example.com
Артеменко,Оксана,Іванівна,Жіноча,07.11.1995,Електрик,селище Звенигородка,"провулок Куликовський 2-й, буд. 330, Соледар, 77449",+380 (20) 203-47-87,zakharchenkoiustyna@example.net
Дейнека,Еріка,Вікторівна,Жіноча,28.03.2008,Євнух,селище Дрогобич,"площа Весела, буд. 77 кв. 561, Чернівці, 85013",099 741-52-03,valeriitsarenko@example.org
Таран,Ірена,Сергіївна,Жіноча,29.06.1938,Медик,село Вугледар,"проспект Паркова, буд. 069 кв. 02, Дружба , 54681",423-81-01,demianenkovolodymyra@example.org
Вовк,Христина,Сергіївна,Жіноча,19.12.1992,Підприємець,селище Ужгород,"узвіз Героїв оборони Одеси, буд. 138, Устилуг, 99521",090 447-41-17,iaremavasylashko@example.com
Жаліло,Оксенія,Іванівна,Жіноча,10.11.1959,Пекар,місто Сарни,"сквер Одеська, буд. 951, Ананьїв, 19693",013 59 61,abrahamovskyizlatoslava@example.org
Бевз,Ліза,Вікторівна,Жіноча,16.08.1973,Програміст,селище Харків,"сквер Бориса Літвака, буд. 6, Перевальськ, 01585",388 86 73,larysaizhak@example.net
Товстоліс,Софія,Володимирівна,Жіноча,28.11.1971,Письменник,селище Новодружеськ,"провулок Таїрова, буд. 45, Луцьк, 32948",291-42-51,tetianabarannyk@example.com
Євтушенко,Анастасія,Михайлівна,Жіноча,09.03.1976,Музичний редактор,хутір Сніжне,"проспект Золотий берег, буд. 86, Красилів, 45102",063 21 29,marynaabramchuk@example.net
Юрченко,Володимира,Олександрівна,Жіноча,21.07.2005,Конструктор,село Кролевець,"сквер Радісна, буд. 77 кв. 2, Луцьк, 27771",+380 62 896-57-95,liubovdankiv@example.com
Рак,Данна,Володимирівна,Жіноча,31.01.1953,Перекладач,село Яготин,"провулок Дунаєвського 2-й, буд. 6, Ямпіль, 23087",569-18-62,vashchenkoliza@example.com
Жайворон,Орина,Вікторівна,Жіноча,07.03.1940,Кухар,місто Любомль,"набережна Марсельська, буд. 19 кв. 2, Дубляни, 02133",000 770-13-13,iustynariaboshapka@example.org
Охримович,Софія,Дмитрівна,Жіноча,07.06.1969,Редактор,місто Зеленодольськ,"площа Сурикова 1-й, буд. 252, Канів, 84602",648-25-66,qgereta@example.org
Батіг,Лілія,Михайлівна,Жіноча,08.04.2002,Адвокат,селище Феодосія,"проспект Лінія 23-тя, буд. 97, Бахчисарай, 89286",+380 (00) 384-64-91,bbabychenko@example.com
Євтушенко,Єлисавета,Андріївна,Жіноча,26.10.1982,Мінералог,місто Тернопіль,"набережна Морський 2-й, буд. 206, Старобільськ, 20951",280-26-48,makohonbohdanna@example.net
Батюк,Володимира,Олександрівна,Жіноча,30.07.1939,Громадський діяч,селище Погребище,"сквер Ляпідевського, буд. 34 кв. 0, Південне , 68501",458-57-49,demianchukfeofan@example.com
Бараник,Еріка,Сергіївна,Жіноча,22.01.1996,Журналіст,хутір Боково-Хрустальне,"парк Жевахова, буд. 470 кв. 5, Люботин, 77694",+380 (91) 343-83-01,stefan34@example.net
Гайда,Розалія,Вікторівна,Жіноча,03.05.1938,Музичний редактор,село Лутугине,"провулок Восьмого березня узвіз, буд. 413 кв. 6, Шумськ, 44125",+380 22 715-03-26,feofandrozd@example.net
Товстоліс,Людмила,Петрівна,Жіноча,25.10.1956,Пекар,село Добромиль,"набережна Західний 4-й, буд. 98, Сніжне, 32423",054 669-85-38,lisaienko@example.org
Жученко,Віолетта,Іванівна,Жіноча,24.12.1970,Кінолог,хутір Яремче,"вулиця Стеценко, буд. 2, Покров, 91350",011 160 07 07,rozaliiadanylchuk@example.net
Безбородько,Еріка,Дмитрівна,Жіноча,30.03.1965,Програміст,селище Ананьїв,"вулиця Пішонівська, буд. 96 кв. 382, Решетилівка, 44391",028-61-43,orysia55@example.org
Онищенко,Одарка,Петрівна,Жіноча,08.02.1994,Водій,хутір Молодогвардійськ,"шосе Тимірязєва 5-й, буд. 4, Умань, 39029",+380 (78) 869-38-94,valentyna52@example.com
